model,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
gpt-4.1-mini,5,50,1.0,0.9067,0.0933,1.0,1.0,0.84,0.96,75,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,10,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,15,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,20,1.0,0.92,0.08,1.0,1.0,0.8533,0.9733,75,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,30,1.0,0.9333,0.0667,1.0,1.0,0.8797,0.9867,75,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,10,50,1.0,0.85,0.15,1.0,1.0,0.78,0.91,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,1,0.98,1.0,-0.02,0.94,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,15,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,20,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,30,0.992,0.832,0.16,0.976,1.0,0.768,0.896,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,15,50,1.0,0.816,0.184,1.0,1.0,0.744,0.88,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,5,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,10,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,15,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,20,1.0,0.9067,0.0933,1.0,1.0,0.84,0.9733,75,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,30,1.0,0.84,0.16,1.0,1.0,0.776,0.904,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,20,50,1.0,0.7429,0.2571,1.0,1.0,0.6743,0.8057,175,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,10,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,15,1.0,0.824,0.176,1.0,1.0,0.752,0.888,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,20,1.0,0.84,0.16,1.0,1.0,0.768,0.904,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,30,1.0,0.88,0.12,1.0,1.0,0.81,0.94,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,25,50,1.0,0.6914,0.3086,1.0,1.0,0.6171,0.7543,175,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,5,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,10,1.0,0.9,0.1,1.0,1.0,0.84,0.96,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,15,1.0,0.86,0.14,1.0,1.0,0.79,0.92,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,20,1.0,0.87,0.13,1.0,1.0,0.8,0.93,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,30,1.0,0.7667,0.2333,1.0,1.0,0.6933,0.8333,150,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,30,50,1.0,0.7143,0.2857,1.0,1.0,0.6514,0.7771,175,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,1,0.98,1.0,-0.02,0.94,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,5,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,10,1.0,0.9333,0.0667,1.0,1.0,0.8797,0.9867,75,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,15,1.0,0.85,0.15,1.0,1.0,0.77,0.92,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,20,1.0,0.832,0.168,1.0,1.0,0.76,0.896,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,30,0.992,0.8,0.192,0.976,1.0,0.728,0.872,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,40,50,0.9943,0.6686,0.3257,0.9829,1.0,0.6,0.7429,175,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,45,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,45,5,1.0,0.9467,0.0533,1.0,1.0,0.8933,0.9867,75,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,45,10,1.0,0.85,0.15,1.0,1.0,0.77,0.92,100,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,45,15,1.0,0.8,0.2,1.0,1.0,0.728,0.864,125,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,45,20,0.9943,0.7086,0.2857,0.9829,1.0,0.64,0.7771,175,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
gpt-4.1-mini,45,30,1.0,0.6629,0.3371,1.0,1.0,0.5943,0.7314,175,200,experiments_cloud/results/semantic/gpt-4.1-mini/sweep_full_20260301_133210.json
claude-4.5-haiku,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-4.5-haiku,1,5,1.0,0.9375,0.0625,1.0,1.0,0.8872,0.9875,80,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-4.5-haiku,1,10,1.0,0.9625,0.0375,1.0,1.0,0.9125,1.0,80,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-4.5-haiku,1,15,1.0,0.8875,0.1125,1.0,1.0,0.8125,0.95,80,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-4.5-haiku,1,20,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-4.5-haiku,1,30,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-4.5-haiku,1,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-haiku/sweep_full_20260519_144025.json
claude-sonnet,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
claude-sonnet,1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
claude-sonnet,1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
claude-sonnet,1,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
claude-sonnet,1,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
claude-sonnet,1,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
claude-sonnet,1,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/claude-sonnet/sweep_full_20260519_144007.json
gpt-4.1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1,1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1,1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1,1,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1,1,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1,1,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1,1,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1/sweep_full_20260519_144219.json
gpt-4.1-mini,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gpt-4.1-mini,1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gpt-4.1-mini,1,10,0.975,0.975,0.0,0.925,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gpt-4.1-mini,1,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gpt-4.1-mini,1,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gpt-4.1-mini,1,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gpt-4.1-mini,1,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gpt-4.1-mini/sweep_full_20260519_144032.json
gemini-2.5-pro,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-pro,1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-pro,1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-pro,1,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-pro,1,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-pro,1,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-pro,1,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
gemini-2.5-flash,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
gemini-2.5-flash,1,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
gemini-2.5-flash,1,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
gemini-2.5-flash,1,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
gemini-2.5-flash,1,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
gemini-2.5-flash,1,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
gemini-2.5-flash,1,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic_k1/gemini-2.5-flash/sweep_full_20260519_144645.json
